5m_range,1h_range,6h_range,5m_mean
"(2735.5, 3184.5)","(2495.5, 2990.5)","(2029.625, 2733.375)",2795.264705882353
"(2923146.5, 2949867.5)","(2713254.125, 2905492.875)","(2893938.375, 3079126.625)",2935508.1402714932
"(15348.0, 43258.0)","(15699.5, 42898.5)","(33642.875, 60357.125)",37231.18705035971
"(270.5, 365.5)","(331.875, 386.125)","(347.875, 417.125)",316.3852140077821
"(14882.0, 15036.0)","(14970.875, 15163.125)","(14962.25, 15099.75)",15023.217712177122
"(49.5, 148.5)","(50.875, 127.125)","(13.0, 65.0)",95.7948717948718
"(881.5, 892.5)","(828.0, 926.0)","(761.0, 1025.0)",985.938596491228
"(138.5, 211.5)","(100.5, 163.5)","(103.375, 189.625)",137.04743083003953
"(17.5, 22.5)","(19.875, 22.125)","(22.5, 25.5)",20.682692307692307
"(4.5, 5.5)","(5.0, 5.0)","(4.5, 5.5)",4.836653386454183
"(99.0, 99.0)","(97.0, 101.0)","(95.5, 100.5)",101.58267716535433
"(1642.875, 1681.125)","(1719.75, 1804.25)","(1371.125, 1819.875)",1664.2916666666667
"(1742.0, 1768.0)","(1770.5, 1863.5)","(1554.25, 1983.75)",1746.1063829787233
"(25124.5, 25423.5)","(25030.25, 25467.75)","(24708.5, 25212.5)",25323.696969696968
